code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
GFLE,GFL Sports & Entertainment Inc.,0.062,14,11,9,16,9,7,5,71,2.0,78.0,Strong,Enter w/ confidence,0,4.9,0.5,10.1,54.7,0,,nan,nan,0.0
GSFD,Global Seafood Technologies Inc,0.062,17,8,12,18,8,8,5,76,-6.0,75.0,Strong,Enter w/ confidence,51,5.1,5.1,3.8,72.1,1,,Consumer Defensive,1165836.0,3686.94
OILRF,Oil Refineries Ltd,0.772,17,11,9,15,6,11,5,74,3.0,75.0,Strong,Enter w/ confidence,67,11.1,13.7,14.5,61.0,2,,Energy,2414467328.0,0.0
TSE,Trinseo SA,0.88,18,12,8,11,6,9,5,69,1.0,73.0,Strong,Enter w/ confidence,57,8.6,1.1,8.0,62.2,1,,Basic Materials,8278525.0,10720312.89
NMREF,Namibia Critical Metals Inc,0.158,13,14,8,7,6,7,5,60,4.0,69.0,Moderate,Enter w/ caution,48,7.5,11.3,10.4,57.0,2,,Basic Materials,36906712.0,42516.97
APGP,AmpliPay Group Inc.,0.099,14,9,10,13,8,0,5,59,4.0,68.0,Moderate,Enter w/ caution,53,0.8,0.8,9.1,57.5,0,,Technology,1118974.0,698.63
FCLIF,Full Circle Lithium Corp.,0.32,18,16,7,16,8,0,5,70,-3.0,68.0,Moderate,Enter w/ caution,58,0.0,1.5,6.6,56.9,1,,Basic Materials,31639260.0,50582.58
VPRIF,Vitality Products Inc,0.002,10,5,10,16,6,2,4,53,4.0,67.0,Moderate,🔥 COILED: Enter w/ caution,33,0.0,0.0,0.0,43.3,1,,Consumer Defensive,103528.0,280.13
GENFF,Genflow Biosciences plc,0.04,12,6,7,18,4,3,5,55,2.0,67.0,Moderate,🔥 COILED: Enter w/ caution,34,0.0,0.0,3.0,54.4,0,,Healthcare,22344866.0,15609.71
NIOVF,Plato Gold Corp,0.018,10,5,10,15,6,8,5,59,2.0,66.0,Moderate,Enter w/ caution,38,0.0,5.2,1.6,57.8,0,,Basic Materials,4198116.0,9870.47
FOXTF,Fox Tungsten Ltd.,0.129,15,10,8,13,5,7,5,63,2.0,66.0,Moderate,🔥 COILED: Enter w/ caution,0,-3.4,29.9,2.7,51.4,2,,Basic Materials,35460356.0,0.0
TOON,"Kartoon Studios, Inc.",0.66,12,14,8,14,4,7,5,64,2.0,66.0,Moderate,Enter w/ caution,36,3.1,2.5,3.3,55.8,0,,Communication Services,41054712.0,689236.29
IPZYF,IP Group Plc,0.905,10,6,10,16,6,6,4,58,0.0,66.0,Moderate,Enter w/ caution,53,0.0,0.0,0.0,67.4,1,,Financial Services,799855360.0,5190.5
IBO,"Impact BioMedical, Inc.",0.54,17,10,7,8,8,7,5,62,-2.0,65.0,Moderate,Enter w/ caution,50,21.6,12.5,16.0,67.3,2,,Healthcare,58223468.0,1429974.23
BACHF,Bank of China Ltd H,0.77,16,6,8,16,6,7,5,64,1.0,65.0,Moderate,Enter w/ caution,69,10.0,14.1,8.9,64.2,2,,Financial Services,248103534592.0,0.0
LVCLF,Living Cell Technologies Limited,0.01,10,5,9,16,6,2,4,52,2.0,64.0,Moderate,🔥 COILED: Enter w/ caution,42,0.0,0.0,0.2,54.4,0,,Healthcare,19363302.0,15837.04
JPTE,"JP 3E Holdings, Inc.",0.01,11,11,9,14,7,7,5,64,-1.0,64.0,Moderate,Enter w/ caution,52,11.1,-2.0,2.0,52.3,0,,Technology,7356594.0,585609.06
GFMH,Goliath Film and Media Holdings,0.004,8,6,11,15,3,5,4,52,2.0,64.0,Moderate,🔥 COILED: Enter w/ caution,43,0.0,0.0,0.3,50.4,0,,Communication Services,507221.0,4519.49
ILDO,International Daleco Corp,0.009,10,5,10,17,4,2,4,52,2.0,64.0,Moderate,🔥 COILED: Enter w/ caution,49,0.0,0.0,0.1,51.6,0,,Basic Materials,409453.0,4961.55
TVGNW,Tevogen Bio Holdings Inc.,0.052,12,14,11,16,7,2,5,67,-3.0,64.0,Moderate,Enter w/ caution,54,-2.6,4.2,2.1,52.6,0,,nan,nan,177361.69
TCRI,TechCom Inc,0.079,12,7,7,18,4,4,4,56,0.0,64.0,Moderate,Enter w/ caution,40,-0.3,-0.3,1.7,53.4,1,,Financial Services,5121232.0,6514.73
RSASF,RESAAS Services Inc,0.34,16,11,6,12,6,8,5,64,0.0,64.0,Moderate,Enter w/ caution,55,17.2,21.4,14.4,65.0,2,,Technology,28572580.0,11633.54
NPWR-WT,NET Power Inc. WT,0.34,16,14,5,16,6,0,5,62,2.0,64.0,Moderate,Enter w/ caution,44,3.1,26.0,15.9,59.7,2,,nan,nan,13457.21
ALPKF,ALPEK S.A.B. de C.V,0.75,19,4,9,12,6,11,5,66,-2.0,64.0,Moderate,Enter w/ caution,55,2.7,4.2,1.8,64.0,0,,Basic Materials,1574184832.0,3745.77
