code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
APACR,StoneBridge Acquisition II Corporation Rights,0.164,17,11,7,18,8,7,5,73,4.0,82.0,Strong,Enter w/ confidence,0,2.7,36.9,10.3,55.6,2,,nan,nan,0.0
JSDA,Jones Soda Co,0.328,17,11,7,15,6,11,5,72,1.0,73.0,Strong,Enter w/ confidence,65,7.5,-0.9,9.9,61.5,0,,Consumer Defensive,41420144.0,171730.34
ENQUF,EnQuest PLC,0.36,14,8,9,17,6,7,5,66,-1.0,70.0,Strong,Enter w/ confidence,55,16.1,16.1,13.1,75.1,2,,Energy,734837248.0,0.0
ELMSQ,"Electric Last Mile Solutions, Inc.",0.14,13,13,10,10,9,3,5,63,2.0,68.0,Moderate,Enter w/ caution,48,27.3,7.7,13.9,54.1,0,,Consumer Cyclical,12774844.0,7889.17
AAUAF,Almaden Minerals Ltd.,0.19,12,16,12,15,9,2,5,71,-4.0,67.0,Moderate,Enter w/ caution,58,5.6,5.6,5.9,55.1,0,,Basic Materials,26099004.0,71999.94
FCUL,Food Culture Inc.,0.5,13,11,8,11,6,5,5,59,3.0,67.0,Moderate,Enter w/ caution,35,26.3,11.1,14.0,66.1,2,,Consumer Cyclical,22544816.0,5877.01
JPTE,"JP 3E Holdings, Inc.",0.01,9,14,10,16,6,4,3,62,4.0,66.0,Moderate,Enter w/ caution,47,7.8,9.0,3.7,52.4,2,,Technology,6714606.0,663195.44
NYWKF,NTG Clarity Networks Inc,0.574,16,11,11,15,3,2,5,63,0.0,66.0,Moderate,Enter w/ caution,28,6.3,8.3,6.0,62.2,1,,Technology,27545882.0,16387.81
GDLG,Glidelogic Corp.,0.085,17,9,9,15,3,3,5,61,-1.0,65.0,Moderate,Enter w/ caution,24,18.6,18.6,14.9,78.9,2,,Technology,5690249.0,11889.65
ETS,Elite Express Holding Inc. Class A Common Stock,0.969,19,10,5,15,6,9,5,69,-2.0,65.0,Moderate,Enter w/ caution,62,21.1,4.2,20.5,67.1,1,,Industrials,47221068.0,104397.42
VPRB,VPR Brands LP,0.089,19,10,7,18,6,8,5,73,-15,63,Moderate,Enter w/ caution,70,61.8,97.8,62.3,67.3,2,8,Consumer Defensive,8165466.0,38037.01
ABPO,"Abpro Holdings, Inc.",0.218,11,14,9,11,8,5,2,60,2.0,63.0,Moderate,Enter w/ caution,40,-1.8,2.8,5.2,52.5,0,,Healthcare,1285338.0,563959.03
MGTI,MGT Capital Investments Inc,0.002,15,14,9,11,4,2,5,60,4.0,62.0,Moderate,Enter w/ caution,46,0.0,33.3,16.4,56.3,2,,Financial Services,12131605.0,939503.86
GFGSF,GFG Resources Inc,0.158,11,11,9,11,6,6,3,57,2.0,62.0,Moderate,Enter w/ caution,58,4.0,3.7,2.3,56.3,1,,Basic Materials,48216536.0,156933.63
OMLAF,oOh!media Limited,1.0,16,8,11,11,6,4,3,59,-2.0,62.0,Moderate,🔥 COILED: Enter w/ caution,57,0.0,0.0,0.6,67.8,0,,Communication Services,528211776.0,2197.0
CFTN,Clifton Mining Co,0.19,18,12,11,13,4,2,5,65,-4.0,61.0,Moderate,Enter w/ caution,61,11.8,11.8,13.6,58.5,2,,Basic Materials,10502419.0,35001.43
MISVF,Minco Silver Corporation,0.62,18,8,5,18,6,11,5,71,-13,61,Moderate,Enter w/ caution,72,63.2,113.8,49.1,74.6,2,10,Basic Materials,38207552.0,9344.9
ELEK,China Xuefeng Environmental Engineering Inc,0.01,9,7,11,12,4,7,3,53,2.0,60.0,Moderate,🔥 COILED: Enter w/ caution,39,0.0,0.0,0.6,53.0,0,,Consumer Cyclical,665208.0,861262.91
ROYIF,ROYIF,0.075,9,14,8,12,8,5,2,58,4.0,60.0,Moderate,Enter w/ caution,54,5.3,-6.2,2.6,53.7,0,,Basic Materials,21510610.0,33795.05
PTHRF,Pantheon Resources Plc,0.19,8,16,9,11,6,2,3,55,2.0,60.0,Moderate,Enter w/ caution,53,5.6,0.0,1.0,50.8,0,,Energy,277001472.0,679099.59
SCLXW,Scilex Holding Company,0.21,14,10,6,16,5,6,5,62,-2.0,60.0,Moderate,Enter w/ caution,64,5.1,31.2,17.9,63.2,2,,nan,nan,16953.09
GARPF,Golden Agri-Resources Ltd,0.25,15,8,10,13,6,2,5,59,1.0,60.0,Moderate,Enter w/ caution,56,19.0,19.0,10.8,68.1,2,,Consumer Defensive,3170418176.0,0.0
SRAFF,Sandfire Resources America Inc,0.26,18,8,8,18,6,12,5,75,-20,60,Moderate,Enter w/ caution,62,73.3,73.3,62.2,80.5,3,8,Basic Materials,266071712.0,65568.66
CMPNF,Champion Real Estate Investment Trust,0.34,15,8,12,9,6,4,3,57,-2.0,60.0,Moderate,🔥 COILED: Enter w/ caution,53,0.0,0.0,0.4,68.7,1,,Real Estate,1907400832.0,0.0
PATRF,PATRF,0.3,16,5,7,12,6,11,5,62,2.0,60.0,Moderate,Enter w/ caution,50,5.3,36.6,7.6,59.8,2,,nan,nan,0.0
CSTPF,Arrow Exploration Corp,0.35,14,10,5,15,7,4,2,57,-3.0,60.0,Moderate,🔥 COILED: Enter w/ caution,64,9.4,6.1,1.3,51.3,1,,Energy,100052520.0,52716.09
AHOTF,American Hotel Income Properties REIT LP,0.437,18,6,8,14,6,7,5,64,-4.0,60.0,Moderate,Enter w/ caution,72,4.0,4.0,7.1,68.9,1,,Real Estate,31353660.0,0.0
TSE,Trinseo SA,0.81,15,12,9,8,7,2,5,58,2.0,60.0,Moderate,Enter w/ caution,47,1.2,2.5,3.5,56.2,1,,Basic Materials,8278525.0,8924740.46
ACRL,Atacama Resources International Inc,0.002,12,12,7,15,6,2,3,57,-3.0,59.0,Moderate,🔥 COILED: Enter w/ caution,37,10.0,4.8,5.4,52.4,1,,Basic Materials,3605556.0,2187172.66
NMGC,NeoMagic Corporation,0.016,18,7,10,10,7,7,4,63,-4.0,59.0,Moderate,Enter w/ caution,63,20.6,-0.6,12.2,63.2,2,,Technology,1024351.0,8883.13
ADMQ,ADM Endeavors Inc,0.04,14,12,9,14,5,2,5,61,-2.0,59.0,Moderate,Enter w/ caution,49,14.3,25.4,15.2,63.8,2,,Industrials,6340816.0,109707.8
VYCO,Vycor Medical Inc,0.069,15,4,8,11,4,7,5,54,0.0,59.0,Moderate,🔥 COILED: Enter w/ caution,28,21.1,9.5,4.0,56.4,2,,Healthcare,2302723.0,6779.69
SENGF,SINOPEC Engineering (Group) Co. Ltd.,0.784,12,6,11,11,4,2,3,49,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,27,0.0,0.0,0.0,50.8,0,,Industrials,3444475392.0,46.53
NNRRF,NRC Group ASA,0.839,11,4,9,14,4,2,5,49,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,46,0.0,0.0,1.2,53.1,0,,Industrials,192700192.0,141.0
CYIO,CYIOS Corporation,0.002,11,12,9,17,5,4,5,63,-3.0,58.0,Moderate,Enter w/ caution,51,12.5,5.9,9.5,56.5,0,,Healthcare,607669.0,1657246.7
ZHUD,Zhuding International Ltd,0.011,20,10,8,18,6,7,5,74,-21,58,Moderate,Enter w/ caution,60,72.7,96.6,60.8,67.9,2,8,Financial Services,1826701.0,127404.48
BENFW,Beneficient Warrant,0.013,14,8,7,18,4,3,5,59,-1.0,58.0,Moderate,Enter w/ caution,55,27.0,18.7,15.7,73.8,2,,nan,nan,193780.82
INNI,Innovaro Inc,0.023,14,4,9,14,8,7,5,61,-3.0,58.0,Moderate,Enter w/ caution,56,6.4,0.0,7.1,55.3,2,,Financial Services,4953927.0,71534.71
PSGCF,Pinnacle Silver and Gold Corp.,0.077,10,14,10,9,6,5,4,58,-3.0,58.0,Moderate,Enter w/ caution,30,-3.5,1.7,1.5,52.0,1,,Basic Materials,12341812.0,23685.19
VASO,Vaso Corp,0.2,17,6,4,16,7,5,5,60,0.0,58.0,Moderate,Enter w/ caution,53,0.0,5.3,2.4,57.6,0,,Healthcare,35199608.0,136483.47
CXXMF,CMX Gold & Silver Corp,0.215,12,6,11,12,6,6,3,56,-3.0,58.0,Moderate,🔥 COILED: Enter w/ caution,49,0.0,0.0,0.1,58.1,1,,Basic Materials,18619606.0,1141.12
