code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
MURMF,Murchison Minerals Ltd,0.22,19,11,8,17,4,5,5,69,0.0,74.0,Strong,Enter w/ confidence,50,22.2,0.0,17.6,69.6,0,,Basic Materials,4570443.0,11304.91
KRTL,KRTL Holding Group Inc,0.068,14,9,8,18,5,9,5,68,-1.0,72.0,Strong,Enter w/ confidence,57,7.1,0.0,7.6,57.1,0,,Industrials,4126834.0,45592.45
CYIO,CYIOS Corporation,0.002,12,14,11,15,5,5,5,67,0.0,67.0,Moderate,Enter w/ caution,47,5.9,28.6,11.3,58.6,2,,Healthcare,584037.0,1660342.02
MSRM,Mushrooms Inc.,0.018,14,6,12,12,7,11,5,67,0.0,67.0,Moderate,Enter w/ caution,53,11.1,5.9,7.9,59.4,0,,Consumer Defensive,809008.0,49427.97
JORFF,Jourdan Resources Inc,0.052,14,11,8,17,4,4,5,63,-1.5,66.5,Moderate,Enter w/ caution,54,13.5,30.0,20.5,67.5,2,,Basic Materials,28434758.0,80320.7
BIXIW,Bitcoin Infrastructure Acquisition Corp Ltd. Warrant,0.3,13,14,10,8,6,7,5,63,0.0,66.0,Moderate,Enter w/ caution,55,3.4,7.1,5.6,54.6,0,,nan,nan,0.0
NMGC,NeoMagic Corporation,0.016,17,11,10,14,6,6,5,69,-4.0,65.0,Moderate,Enter w/ caution,66,16.1,3.2,13.9,64.8,1,,Technology,887554.0,7090.76
ASPSW,Altisource Portfolio Solutions S.A.,0.42,15,14,7,11,6,9,5,67,0.0,65.0,Moderate,Enter w/ caution,43,7.7,27.3,8.2,61.5,2,,nan,nan,18910.1
WERDF,WERDF,0.039,12,12,10,10,6,8,5,63,2.0,64.0,Moderate,Enter w/ caution,39,3.7,3.7,3.4,59.0,0,,nan,nan,60435.9
BHLIF,Bradda Head Lithium Limited,0.049,16,7,5,17,6,4,5,60,-1.0,64.0,Moderate,Enter w/ caution,58,13.7,0.0,12.7,74.3,0,,Basic Materials,16796206.0,8152.75
LPAAW,Launch One Acquisition Corp. Warrant,0.18,13,9,12,13,6,9,5,67,-3.0,64.0,Moderate,Enter w/ caution,52,9.5,9.5,8.7,79.5,1,,nan,nan,19741.81
LODFF,LODFF,0.215,11,16,10,14,4,2,5,62,-3.0,64.0,Moderate,🔥 COILED: Enter w/ caution,39,2.4,-3.2,2.2,52.5,1,,Basic Materials,13323042.0,50057.38
BGM,Qilian International Holding Group Limited,0.377,14,11,5,14,8,5,5,62,-3.0,64.0,Moderate,Enter w/ caution,37,16.7,3.3,7.1,53.3,1,,Healthcare,151035008.0,222155.07
LDSN,Luduson G Inc,0.001,16,5,10,11,6,7,5,60,0.0,63.0,Moderate,Enter w/ caution,39,0.0,33.3,12.6,67.8,2,,Communication Services,676164.0,2190.59
DDDX,3Dx Industries Inc,0.005,8,12,10,13,9,6,5,63,-3.0,63.0,Moderate,Enter w/ caution,36,19.0,8.7,8.8,53.0,2,,Technology,602067.0,111319.95
VOLMF,VOLMF,0.172,16,10,6,11,4,7,5,59,-1.0,63.0,Moderate,Enter w/ caution,0,14.2,66.4,17.4,61.0,2,,nan,nan,0.0
NLIBF,NOA Lithium Brines Inc.,0.205,16,9,6,12,8,6,5,62,1.0,63.0,Moderate,Enter w/ caution,50,7.2,0.0,7.2,65.8,0,,Basic Materials,57999280.0,7821.3
CPFXF,Copper Fox Metals Inc,0.47,12,14,5,11,9,4,3,58,2.0,63.0,Moderate,🔥 COILED: Enter w/ caution,46,-0.0,4.8,3.0,53.6,1,,Basic Materials,266743744.0,27019.8
SENGF,SINOPEC Engineering (Group) Co. Ltd.,0.784,9,5,11,12,4,7,5,53,2.0,63.0,Moderate,Enter w/ caution,32,0.0,0.0,0.1,50.8,0,,Industrials,3444475392.0,46.53
PMTRW,Perimeter Acquisition Corp. I Warrant,0.93,14,11,3,12,8,3,5,56,2.0,63.0,Moderate,Enter w/ caution,65,14.1,14.7,14.4,55.7,2,,nan,nan,24238.74
ASPSZ,Altisource Portfolio Solutions S.A.,0.262,15,11,4,15,7,4,5,61,0.0,62.0,Moderate,Enter w/ caution,52,19.2,25.0,13.6,56.7,2,,nan,nan,16130.78
IAUFF,AIC Mines Limited,0.51,19,4,7,14,6,6,5,61,1.0,62.0,Moderate,Enter w/ caution,70,4.1,-1.9,4.6,68.6,0,,Basic Materials,417793280.0,3623.75
CYCUW,"Cycurion, Inc. Warrant",0.022,10,12,5,12,3,2,5,49,4.0,61.0,Moderate,🔥 COILED: Enter w/ caution,38,19.5,9.4,7.8,53.0,2,,nan,nan,41854.95
RMDFF,Richmond Minerals Inc,0.083,15,6,11,9,6,2,4,53,0.0,61.0,Moderate,🔥 COILED: Enter w/ caution,55,0.0,0.0,1.2,50.0,0,,Basic Materials,6735049.0,3006.62
CFSU,Complete Fin Solu,0.117,15,13,3,11,4,5,5,56,2.0,61.0,Moderate,Enter w/ caution,58,2.6,-0.8,10.0,53.0,0,,Financial Services,117898552.0,21780.3
PDSSF,Paradise Entertainment Limited,0.1,19,12,7,11,6,4,5,64,1.0,61.0,Moderate,Enter w/ caution,0,9.2,0.0,14.0,61.9,0,,Consumer Cyclical,96390696.0,0.0
TMGEF,Thermal Energy International Inc,0.12,20,14,10,11,4,2,5,66,-1.0,61.0,Moderate,Enter w/ caution,56,2.7,9.8,6.9,59.8,1,,Industrials,18993988.0,31410.63
EBZT,Everything Blockchain Inc.,0.11,12,10,10,12,7,3,5,59,2.0,61.0,Moderate,Enter w/ caution,58,20.9,27.9,14.2,57.0,2,,Technology,2952133.0,63928.39
TRRXF,TNR Gold Corp,0.19,12,10,11,15,4,6,5,63,-3.0,61.0,Moderate,Enter w/ caution,57,0.0,0.0,2.7,53.7,2,,Basic Materials,45235536.0,69191.23
LMEFF,Laurion Mineral Exploration Inc,0.15,12,11,10,13,4,4,5,59,-1.0,61.0,Moderate,Enter w/ caution,32,0.0,6.0,5.6,56.0,1,,Basic Materials,41807464.0,9882.26
ZTSTF,ZTEST Electronics Inc,0.24,13,11,2,13,7,3,5,54,4.0,61.0,Moderate,Enter w/ caution,55,9.1,-17.2,1.2,50.8,0,,Technology,8829607.0,13282.08
HGHAF,High Arctic Energy Services Inc,0.68,17,8,6,13,7,7,5,63,-2.0,61.0,Moderate,Enter w/ caution,59,11.5,6.1,4.1,67.8,0,,Energy,8633932.0,2733.0
CPMV,Mosaic Immunoengineering Inc,0.674,12,8,11,13,6,4,4,58,-5.0,61.0,Moderate,🔥 COILED: Enter w/ caution,54,0.0,0.0,1.1,52.4,1,,Healthcare,4881201.0,621.37
CETY,"Clean Energy Technologies, Inc. Common Stock",0.857,12,11,7,15,9,5,5,64,-3.0,61.0,Moderate,Enter w/ caution,52,5.9,-2.0,2.8,53.7,1,,Industrials,10520032.0,2134971.66
GERFF,Glen Eagle Resources Inc,0.002,21,9,4,16,6,11,5,72,-17,60,Moderate,Enter w/ caution,76,700.0,0.0,327.6,74.4,0,6,Basic Materials,233283.0,2271.25
ALRDF,Defence Holdings Plc,0.02,15,8,10,15,4,6,5,63,-1.0,60.0,Moderate,Enter w/ caution,58,0.0,0.0,13.1,59.5,1,,Industrials,49469720.0,63553.57
GCFFF,Goldcliff Resource Corporation,0.029,14,11,6,13,4,6,5,59,1.0,60.0,Moderate,Enter w/ caution,31,2.5,31.5,10.0,57.1,2,,Basic Materials,2312250.0,26924.04
WSRRF,Harrys Manufacturing Inc,0.066,19,10,6,15,6,11,5,72,-8.0,60.0,Moderate,Enter w/ caution,72,20.9,0.0,18.9,70.1,0,,Consumer Defensive,6537166.0,1071.99
IDKFF,ThreeD Capital Inc,0.08,11,14,8,14,8,2,5,62,-7.0,60.0,Moderate,🔥 COILED: Enter w/ caution,52,3.5,0.9,3.9,54.5,1,,Financial Services,7553756.0,57888.62
CMPNF,Champion Real Estate Investment Trust,0.34,15,8,11,9,6,4,4,57,-2.0,60.0,Moderate,🔥 COILED: Enter w/ caution,53,0.0,0.0,0.9,68.7,1,,Real Estate,1907400832.0,0.0
VULMF,Vulcan Minerals Inc,0.324,17,10,6,15,6,8,5,67,-7.0,60.0,Moderate,Enter w/ caution,70,14.4,6.2,13.3,67.5,1,,Basic Materials,42062396.0,14513.2
IPEXR,Inflection Point Acquisition Corp. V,0.69,14,11,6,17,6,4,5,63,-1.0,60.0,Moderate,Enter w/ caution,58,-0.0,-0.0,7.1,55.0,0,,nan,nan,0.0
POSAF,POSaBIT Systems Corp,0.057,10,13,3,11,8,2,5,52,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,58,14.0,9.6,8.2,55.0,1,,Technology,9243354.0,34355.03
TNGZF,TNG Limited,0.209,17,14,8,7,4,3,4,57,2.0,59.0,Moderate,Enter w/ caution,41,16.1,12.8,6.2,55.1,2,,Basic Materials,411859104.0,45317.91
STRPF,Starr Peak Exploration Ltd,0.32,8,14,9,10,4,4,3,52,-1.0,59.0,Moderate,Enter w/ caution,42,3.6,5.2,4.4,52.7,1,,Basic Materials,19348466.0,13723.5
CSPKF,COSCO SHIPPING Ports Limited,0.79,20,9,5,14,4,9,5,66,-3.0,59.0,Moderate,Enter w/ caution,51,14.5,0.0,12.2,72.7,0,,Industrials,3171996416.0,0.0
SFGRF,SFGRF,0.91,19,11,7,10,8,7,5,67,-8.0,59.0,Moderate,Enter w/ caution,38,3.8,18.4,8.4,58.4,2,,Financial Services,6104686080.0,0.0
LGPS,LogProstyle Inc.,0.98,16,13,6,13,6,12,5,71,-17.0,59.0,Moderate,Enter w/ caution,59,33.1,44.0,33.3,69.6,2,,Industrials,23138654.0,430539.29
FLRLF,FluroTech Ltd.,0.005,15,6,10,7,6,2,4,50,0.0,58.0,Moderate,🔥 COILED: Enter w/ caution,53,0.0,0.0,0.6,50.0,0,,Healthcare,116027.0,3.05
TALKW,Talkspace Inc,0.004,9,6,10,12,6,1,4,48,2.0,58.0,Moderate,🔥 COILED: Enter w/ caution,25,0.0,0.0,1.1,50.1,0,,Healthcare,nan,91000.8
BBUZ,Bebuzee Inc.,0.014,2,11,7,15,9,2,2,48,2.0,58.0,Moderate,Enter w/ caution,35,-4.0,-10.0,-6.6,43.3,1,,Communication Services,10291228.0,76253.46
ARWYF,Arway Corporation,0.042,10,14,4,10,8,2,5,53,2.0,58.0,Moderate,Enter w/ caution,40,0.0,-9.5,11.1,54.1,0,,Technology,1646541.0,14577.79
PFSF,Pacific Software Inc,0.06,13,14,4,15,8,0,5,59,-1.0,58.0,Moderate,Enter w/ caution,64,-11.8,20.0,12.8,54.1,2,,Healthcare,46406796.0,112353.33
AEMLF,AEMLF,0.08,15,6,10,7,6,2,4,50,0.0,58.0,Moderate,🔥 COILED: Enter w/ caution,50,0.0,0.0,0.7,50.0,0,,Energy,14325099.0,9309.47
MURMD,Murchison Minerals Ltd.,0.188,11,12,11,7,3,4,5,53,0.0,58.0,Moderate,Enter w/ caution,43,4.5,4.5,3.6,62.2,0,,Basic Materials,nan,11603.51
EKDHF,EKF Diagnostics Holdings plc,0.39,18,9,4,12,6,11,5,65,-3.0,58.0,Moderate,Enter w/ caution,73,12.4,0.0,10.7,74.2,0,,Healthcare,167806512.0,2100.0
SOCLF,Pharos Energy plc,0.43,13,6,11,10,6,2,5,53,0.0,58.0,Moderate,🔥 COILED: Enter w/ caution,0,0.0,0.0,1.6,56.5,1,,Energy,174257456.0,0.0
AUTR,Autris,0.578,11,11,4,16,4,4,3,53,-1.0,58.0,Moderate,Enter w/ caution,41,5.1,0.0,4.0,53.9,1,,Real Estate,183284032.0,2167.15
SRRRF,SRRRF,0.721,9,2,8,13,4,6,4,46,4.0,58.0,Moderate,Enter w/ caution,45,0.0,0.0,-0.1,41.5,0,,Energy,32856030.0,1192.28
MBIO,Mustang Bio Inc,0.71,11,15,5,10,9,3,5,58,-3.0,58.0,Moderate,🔥 COILED: Enter w/ caution,35,1.0,9.2,1.2,51.5,2,,Healthcare,5326986.0,133560.99
BIVIW,BioVie Inc. Warrant,0.5,19,8,6,15,6,7,5,66,-8.5,57.5,Moderate,Enter w/ caution,65,16.3,61.3,35.3,74.0,2,,nan,nan,0.0
CDIOW,Cardio Diagnostics Holdings Inc,0.025,15,6,9,12,6,0,4,52,0.0,57.0,Moderate,🔥 COILED: Enter w/ caution,42,0.0,0.0,3.1,52.2,0,,nan,nan,43435.36
USHAF,Usha Resources Ltd,0.04,8,13,4,16,6,2,5,54,4.0,57.0,Moderate,Enter w/ caution,44,-5.7,0.0,2.1,52.1,0,,Basic Materials,3660867.0,9439.92
