code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
TDSA,Cabana Target Drawdown 5 ETF,0.48,17,13,6,17,6,7,5,71,-2.0,70.0,Strong,Enter w/ confidence,53,14.3,18.2,9.8,66.4,2,,nan,nan,4753792.99
NRGT,Energy Today Inc,0.01,16,10,7,16,6,10,5,70,-0.2,69.8,Moderate,Enter w/ caution,40,16.5,86.8,20.3,69.7,2,,Consumer Defensive,692745.0,81292.86
SNTX,Suntex Enterprises Inc,0.014,14,12,5,14,9,7,5,66,2.0,68.0,Moderate,Enter w/ caution,55,-2.7,-0.7,13.0,58.3,0,,Financial Services,4952475.0,2677095.47
IRHOR,Iron Horse Acquisitions Corp. II Rights,0.221,18,10,7,15,6,6,5,67,3.0,68.0,Moderate,Enter w/ caution,0,5.2,30.0,18.8,67.1,2,,nan,nan,0.0
IBACR,IB Acquisition Corp. Right,0.117,13,14,11,14,6,2,5,65,4.0,67.0,Moderate,Enter w/ caution,55,2.0,6.7,3.9,59.3,0,,nan,nan,0.0
CBWTF,Auxly Cannabis Group Inc,0.121,17,12,6,14,7,9,5,70,-2.0,66.0,Moderate,Enter w/ caution,68,8.6,8.6,8.6,65.0,1,,Healthcare,172888048.0,759006.02
SEOVF,Sernova Corp,0.122,11,16,10,12,8,2,4,63,-1.0,66.0,Moderate,Enter w/ caution,48,11.3,2.0,7.4,55.9,1,,Healthcare,44246252.0,32203.15
RKHNF,Rockhaven Resources Ltd,0.18,15,8,13,11,7,8,5,67,-2.0,65.0,Moderate,Enter w/ caution,50,5.9,5.9,6.2,67.3,0,,Basic Materials,52704568.0,38010.0
FERAR,Fifth Era Acquisition Corp I Rights,0.33,16,9,9,15,4,2,5,60,0.0,65.0,Moderate,Enter w/ caution,52,3.1,1.5,7.2,56.6,0,,nan,nan,0.0
WGNR,Wegener Corporation,0.019,13,11,7,17,8,2,3,61,-3.0,63.0,Moderate,Enter w/ caution,61,1.6,1.6,4.3,55.3,1,,Technology,515793.0,7270.07
IGACR,Invest Green Acquisition Corporation Rights,0.185,17,6,5,13,6,4,5,56,2.0,63.0,Moderate,🔥 COILED: Enter w/ caution,0,0.0,0.0,1.8,59.4,0,,nan,nan,0.0
ILDO,International Daleco Corp,0.009,13,6,11,13,4,4,3,54,0.0,62.0,Moderate,🔥 COILED: Enter w/ caution,42,0.0,0.0,1.2,53.9,0,,Basic Materials,414106.0,6529.65
FGIWW,FGI Industries Ltd. Warrant,0.04,15,10,12,13,3,7,5,65,-3.0,62.0,Moderate,Enter w/ caution,46,14.5,14.5,12.6,71.6,2,,nan,nan,0.0
DBOXF,D-BOX Technologies Inc,0.831,18,7,5,15,6,11,5,67,-3.0,62.0,Moderate,Enter w/ caution,73,13.8,22.2,16.1,71.6,2,,Technology,184414848.0,181633.48
PMTYF,Playmates Toys Ltd,0.06,14,5,12,12,4,6,5,58,-2.0,61.0,Moderate,🔥 COILED: Enter w/ caution,53,0.0,7.1,4.7,64.8,0,,Consumer Cyclical,68883360.0,31320.14
STXPF,Stuhini Exploration Ltd,0.122,10,9,9,15,6,5,2,56,-3.0,61.0,Moderate,Enter w/ caution,36,4.7,2.2,1.5,54.8,1,,Basic Materials,6254136.0,13738.35
HEWA,Healthwarehouse.Com,0.15,18,4,13,14,6,6,5,66,-5.0,61.0,Moderate,Enter w/ caution,66,7.1,7.1,8.2,72.3,1,,Healthcare,8542560.0,3041.0
AFFY,Affymax Inc.,0.001,20,6,5,14,6,6,5,62,-2.0,60.0,Moderate,Enter w/ caution,71,30.0,8.3,18.8,66.0,2,,Healthcare,48737.0,5857.06
PSUD,Petrosun Inc,0.019,15,12,9,16,6,0,5,63,-3.0,60.0,Moderate,Enter w/ caution,61,10.6,8.0,13.3,57.8,2,,Energy,9551310.0,54956.83
