code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
TRRE,Terra Energy Res,0.041,15,11,13,18,6,4,3,70,5.0,80.0,Strong,Enter w/ confidence,74,3.2,3.2,3.6,66.6,0,,Real Estate,15374039.0,4607.56
LOECF,Logan Energy Corp.,0.8,20,11,6,17,7,10,5,76,-3.0,74.0,Strong,Enter w/ confidence,66,22.5,15.1,14.4,72.8,2,,Energy,546345216.0,81678.56
WECFF,White Energy Company Limited,0.181,18,10,11,16,6,11,5,77,-3.2,73.8,Strong,Enter w/ confidence,55,27.6,14.8,21.4,68.4,2,,Energy,79904400.0,0.0
SRCH,Searchlight Minerals Corp,0.006,16,11,11,18,6,4,2,68,-4.0,72.0,Strong,Enter w/ confidence,60,1.6,6.6,3.4,62.6,1,,Basic Materials,2363374.0,22942.37
ENDGF,Endurance Gold Corporation,0.42,16,13,6,16,6,12,5,74,-7.0,68.0,Moderate,Enter w/ caution,70,20.0,13.5,14.5,66.7,2,,Basic Materials,84010344.0,32571.65
GFTFF,Grafton Resources Inc.,0.406,13,12,13,18,3,3,5,67,-2.0,68.0,Moderate,Enter w/ caution,0,16.1,11.7,10.8,62.6,2,,nan,nan,0.0
AUMTF,Aurelia Metals Limited,0.26,17,8,7,15,6,11,5,69,-2.0,67.0,Moderate,Enter w/ caution,61,4.0,4.0,4.7,62.0,0,,Basic Materials,440284480.0,6840.67
SALM,Salem Media Group Inc,0.998,15,9,8,17,7,7,4,67,-5.0,67.0,Moderate,Enter w/ caution,64,2.4,2.9,2.6,69.5,1,,Communication Services,31683452.0,85125.07
CYIO,CYIOS Corporation,0.002,10,7,11,14,7,9,5,63,3.0,66.0,Moderate,Enter w/ caution,42,5.3,5.3,4.8,60.0,0,,Healthcare,675188.0,1632503.87
HGHAF,High Arctic Energy Services Inc,0.68,15,11,3,17,4,6,4,60,-2.0,66.0,Moderate,Enter w/ caution,60,6.2,6.9,4.6,64.3,1,,Energy,8633932.0,3303.5
IMTCF,Intrepid Metals Corp.,0.59,16,12,7,16,4,4,5,64,-2.0,65.0,Moderate,Enter w/ caution,52,3.3,8.8,7.9,62.4,2,,Basic Materials,72891848.0,76848.08
VVCVF,VVC Exploration Corporation,0.006,15,10,8,18,4,4,5,64,-4.5,64.5,Moderate,Enter w/ caution,20,17.6,17.6,31.4,66.1,2,,Energy,3193416.0,58235.4
LCGMF,Lion Copper and Gold Corp,0.198,11,14,9,10,5,3,5,57,2.0,64.0,Moderate,🔥 COILED: Enter w/ caution,39,4.5,4.5,4.5,54.8,0,,Basic Materials,81942976.0,145605.85
SRRRF,SRRRF,0.72,14,8,7,13,4,11,4,61,0.0,64.0,Moderate,Enter w/ caution,56,1.4,1.4,1.8,77.9,0,,Energy,32819566.0,1202.79
BVRXF,Bellavista Resources Limited,0.3,20,12,12,14,4,5,2,69,-5.8,63.2,Moderate,Enter w/ caution,0,20.0,42.9,27.0,61.3,2,,nan,nan,0.0
SSCCX,Saratoga Small Capitalization C,0.43,16,6,10,9,8,7,3,59,1.0,63.0,Moderate,Enter w/ caution,52,2.4,4.9,2.4,63.3,0,,nan,0.0,0.0
MYRUF,Myriad Uranium Corp.,0.344,11,14,8,14,8,2,2,59,-1.0,62.0,Moderate,Enter w/ caution,50,10.9,5.0,4.2,54.3,1,,Basic Materials,37585376.0,291698.28
HOKCY,Hong Kong and China Gas Co Ltd ADR,0.85,10,13,5,10,4,5,5,52,4.0,62.0,Moderate,🔥 COILED: Enter w/ caution,46,1.1,2.9,2.6,52.9,1,,Utilities,15860890624.0,12512.99
CCDSF,Carrier Connect Data Solutions Inc.,1.0,17,10,11,15,4,2,5,64,-2.0,62.0,Moderate,Enter w/ caution,54,29.0,14.9,17.8,68.3,2,,nan,nan,7047.43
SMEV,Simulated Environmen,0.01,16,8,6,18,6,8,5,67,-11.0,61.0,Moderate,Enter w/ caution,67,12.6,11.4,10.8,83.0,2,,Financial Services,5365249.0,186300.2
DYNA,Dynastar Holdings Inc,0.013,15,14,4,15,3,2,5,58,2.0,61.0,Moderate,Enter w/ caution,59,19.3,13.0,16.3,58.3,2,,Financial Services,31666170.0,18748.76
AGSVF,Argentum Silver Corp,0.031,11,7,11,9,6,7,2,53,0.0,61.0,Moderate,🔥 COILED: Enter w/ caution,31,0.0,0.0,0.4,53.5,0,,Basic Materials,1599554.0,841.71
SFPT,"Safepoint Holdings, Inc.",0.36,17,10,10,10,7,11,4,69,-9.0,61.0,Moderate,Enter w/ caution,0,4.3,7.5,5.3,62.2,0,,nan,nan,0.0
MTBLY,Moatable Inc,0.51,11,8,8,18,3,8,5,61,-3.0,61.0,Moderate,Enter w/ caution,47,8.5,8.5,11.4,78.5,2,,Technology,8970727.0,2201.84
FURY,Fury Gold Mines Ltd,0.61,16,8,6,15,7,6,5,63,-2.0,61.0,Moderate,Enter w/ caution,41,6.5,10.6,7.9,68.4,2,,Basic Materials,116066200.0,526613.54
QMCQF,QMC Quantum Minerals Corp,0.026,12,8,6,17,5,0,5,53,2.0,60.0,Moderate,🔥 COILED: Enter w/ caution,30,2.3,1.1,4.7,53.6,0,,Basic Materials,2964335.0,16345.32
RSNUF,Renascor Resources Limited,0.052,15,6,6,11,6,4,5,53,2.0,60.0,Moderate,🔥 COILED: Enter w/ caution,48,0.0,0.0,1.8,55.2,0,,Basic Materials,131895120.0,2775.98
ASPU,Aspen Group Inc,0.315,18,15,6,7,5,7,4,62,-5.0,60.0,Moderate,Enter w/ caution,53,4.2,5.6,4.1,53.7,2,,Consumer Defensive,9443416.0,46460.03
YTLCF,YTL Corporation Berhad,0.523,12,7,11,10,6,4,2,52,0.0,60.0,Moderate,🔥 COILED: Enter w/ caution,0,0.0,0.0,0.2,47.5,0,,Utilities,6089268736.0,0.0
AIJTY,Jianpu Technology Inc.,0.87,12,8,13,11,4,4,5,57,0.0,60.0,Moderate,Enter w/ caution,36,3.1,2.2,3.0,72.3,0,,Financial Services,17422776.0,6598.15
EVLLF,EnviroLeach Technologies Inc,0.006,13,8,11,10,5,5,5,57,2.0,59.0,Moderate,Enter w/ caution,54,0.0,20.0,13.0,57.6,2,,Basic Materials,681643.0,101183.66
PTEFF,Pioneering Technology Corp,0.02,13,7,11,10,6,7,2,56,-5.0,59.0,Moderate,🔥 COILED: Enter w/ caution,61,0.0,0.0,1.1,53.7,1,,Industrials,1120834.0,3018.45
SEATW,Vivid Seats Inc. Warrant,0.069,18,8,8,18,4,11,5,72,-18,59,Moderate,Enter w/ caution,54,165.0,165.0,113.5,85.3,2,10,nan,nan,5151.38
HGAS,Global Gas Corporation,0.08,11,7,6,16,4,6,5,55,-1.0,59.0,Moderate,Enter w/ caution,56,0.0,96.3,19.3,78.5,2,,Basic Materials,594521.0,999.55
BADVF,BADVF,0.083,10,16,9,7,4,3,5,54,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,0,-5.1,9.6,5.7,52.2,1,,Basic Materials,6683105.0,0.0
CLPMF,Clip Money Inc.,0.124,14,11,9,15,6,3,3,61,-7.0,59.0,Moderate,Enter w/ caution,42,3.6,3.2,3.5,62.9,1,,Technology,15057495.0,847.52
