code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
HAPBF,Hapbee Technologies Inc,0.038,13,12,13,15,4,7,5,69,2.0,71.0,Strong,Enter w/ confidence,51,12.4,0.5,9.3,59.5,0,,Technology,8923315.0,38140.87
HPNN,Hop-On Inc,0.001,17,6,7,16,7,9,5,67,1.8,69.8,Moderate,Enter w/ caution,65,20.0,71.4,28.2,65.6,2,,Technology,8959021.0,4369586.12
BITTF,Bitterroot Resources Ltd,0.04,15,9,8,16,6,9,5,68,0.0,68.0,Moderate,Enter w/ caution,49,10.5,27.0,18.4,69.4,2,,Basic Materials,5000822.0,45757.48
CELG-RI,Bristol-Myers Squibb Company Ce,0.12,13,9,9,18,4,3,5,61,2.0,68.0,Moderate,Enter w/ caution,61,-0.1,30.2,10.7,55.0,2,,nan,nan,42949.99
LRRIF,Lion Rock Resources Inc.,0.188,16,14,11,11,8,7,5,72,-5.0,67.0,Moderate,Enter w/ caution,43,10.6,9.0,12.8,63.5,2,,Basic Materials,19963844.0,165576.15
IRHOR,Iron Horse Acquisitions Corp. II Rights,0.195,8,12,8,13,8,6,5,60,4.0,67.0,Moderate,Enter w/ caution,65,21.2,8.3,9.8,53.9,1,,nan,nan,0.0
CSTPF,Arrow Exploration Corp,0.414,17,12,8,14,6,7,5,69,-2.0,67.0,Moderate,Enter w/ caution,61,11.0,15.0,11.0,63.7,2,,Energy,117204384.0,74247.24
PFSF,Pacific Software Inc,0.06,13,10,11,11,8,3,5,61,2.0,66.0,Moderate,Enter w/ caution,70,3.4,0.0,7.2,54.4,0,,Healthcare,56739248.0,0.0
RDGMF,Ridgeline Minerals Corp,0.182,14,12,11,15,6,6,5,69,-2.0,65.0,Moderate,Enter w/ caution,71,7.7,3.8,9.2,63.4,0,,Basic Materials,26245176.0,114243.73
BBLC,Blockchain Loyalty Corp,0.067,14,14,6,13,8,4,2,61,-1.8,64.2,Moderate,🔥 COILED: Enter w/ caution,49,-1.2,106.8,28.5,54.2,2,,Financial Services,5439327.0,7051.65
