code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
GNGXF,Inventus Mining Corp,0.267,13,14,8,18,6,7,5,71,5.0,76.0,Strong,Enter w/ confidence,73,18.5,24.0,19.6,62.7,2,,Basic Materials,49725000.0,34585.09
ALVLF,Big Ridge Gold Corp,0.44,19,12,8,17,7,9,5,77,-7.0,71.0,Strong,Enter w/ confidence,78,18.9,22.2,14.9,67.9,2,,Basic Materials,129507160.0,196269.01
BITTF,Bitterroot Resources Ltd,0.04,15,13,6,15,6,9,5,69,-2.0,67.0,Moderate,Enter w/ caution,51,15.2,3.7,19.2,68.6,1,,Basic Materials,5000822.0,45762.14
TCVNF,Tocvan Ventures Corp,0.549,17,12,11,12,8,6,3,69,-2.0,67.0,Moderate,Enter w/ caution,52,1.7,1.7,4.2,67.4,1,,Basic Materials,43237332.0,997.02
BACHF,Bank of China Ltd H,0.7,16,12,8,9,6,6,5,62,2.0,67.0,Moderate,Enter w/ caution,67,1.4,8.0,3.4,55.5,0,,Financial Services,225548681216.0,0.0
PRRSF,Posera Ltd,0.033,9,15,6,12,5,7,5,59,1.0,66.0,Moderate,🔥 COILED: Enter w/ caution,30,19.9,-1.5,4.2,52.6,1,,Basic Materials,3605391.0,61776.59
GABA,Georgia Bancshares Inc,0.034,12,13,9,8,4,7,5,58,2.0,65.0,Moderate,🔥 COILED: Enter w/ caution,38,6.9,4.3,3.9,53.3,0,,Financial Services,44655480.0,3873906.45
CELG-RI,Bristol-Myers Squibb Company Ce,0.12,14,12,9,14,4,4,3,60,2.0,65.0,Moderate,Enter w/ caution,52,17.5,23.1,11.8,55.0,2,,nan,nan,42701.81
LECBF,Lepanto Consolidated Mining Company,0.002,11,8,11,8,6,6,3,53,2.0,63.0,Moderate,🔥 COILED: Enter w/ caution,22,0.0,0.0,0.2,42.4,0,,Basic Materials,146026672.0,7942.54
TAGP,Tristar Acquisition Group,0.56,16,6,6,17,6,7,5,63,-3.0,63.0,Moderate,Enter w/ caution,65,16.7,55.6,35.9,75.8,2,,Industrials,111500200.0,13559.95
RPMT,Rego Payment Architectures Inc,0.68,14,14,6,14,4,7,5,64,-4.0,63.0,Moderate,Enter w/ caution,60,6.4,4.6,8.2,61.2,1,,Technology,92954304.0,50147.37
DBMM,Digital Brand Media & Marketing Group Inc,0.001,16,9,7,16,6,4,5,63,-0.5,62.5,Moderate,Enter w/ caution,66,10.0,37.5,24.4,74.2,2,,Communication Services,951740.0,1275653.33
RKMSF,Rokmaster Resources Corp,0.032,15,11,10,11,9,2,2,60,2.0,62.0,Moderate,Enter w/ caution,52,10.3,6.7,6.9,57.2,1,,Basic Materials,5775695.0,28212.5
GHST,GHST World Inc,0.036,14,7,11,14,5,4,5,60,2.0,62.0,Moderate,Enter w/ caution,40,12.5,0.0,6.0,59.3,0,,Consumer Cyclical,4687242.0,1394.27
TVGNW,Tevogen Bio Holdings Inc.,0.054,15,12,7,15,7,4,5,65,-1.0,62.0,Moderate,Enter w/ caution,61,7.0,5.5,6.0,56.4,0,,nan,nan,173338.67
SPTJF,Sinopec Shanghai Petrochemical Company Limited,0.15,16,11,12,10,4,5,4,62,-3.0,62.0,Moderate,Enter w/ caution,30,7.1,3.4,4.7,59.6,2,,Energy,3432020224.0,7927.22
RKHNF,Rockhaven Resources Ltd,0.15,13,14,5,14,4,2,5,57,-1.0,62.0,Moderate,Enter w/ caution,39,25.0,36.4,15.8,55.4,2,,Basic Materials,43920472.0,27869.0
FCLIF,Full Circle Lithium Corp.,0.32,18,14,5,17,6,0,5,65,-3.0,62.0,Moderate,Enter w/ caution,58,1.5,6.7,7.2,57.7,1,,Basic Materials,31639260.0,52329.31
JNSH,JNS Holdings Corp,0.001,15,13,4,9,4,6,5,56,4.0,61.0,Moderate,Enter w/ caution,29,16.7,40.0,11.9,55.4,2,,Industrials,431445.0,370621.03
GCEI,Global Clean Energy Inc,0.033,10,9,11,11,4,6,5,56,2.0,61.0,Moderate,Enter w/ caution,35,16.6,-3.8,7.3,54.2,1,,Industrials,19619662.0,273490.52
CUPPF,Super Copper Corp.,0.4,13,12,6,15,9,7,5,67,-6.0,61.0,Moderate,Enter w/ caution,46,6.7,1.7,7.4,58.7,1,,nan,nan,37741.59
DRTTF,DIRTT Environmental Solutions Ltd,0.605,8,14,7,12,8,7,3,59,-1.0,61.0,Moderate,🔥 COILED: Enter w/ caution,53,0.2,1.0,0.8,52.7,1,,Industrials,117571224.0,50368.52
LOECF,Logan Energy Corp.,0.81,16,7,7,13,6,6,5,60,1.0,61.0,Moderate,Enter w/ caution,61,0.3,1.9,6.4,63.9,0,,Energy,560211392.0,81921.18
HAPBF,Hapbee Technologies Inc,0.035,12,8,9,14,6,3,3,55,0.0,60.0,Moderate,🔥 COILED: Enter w/ caution,38,2.9,2.9,1.2,51.2,1,,Technology,8218843.0,38423.18
GSTX,Graphene & Solar Technologies Limited,0.088,14,9,6,15,5,4,5,58,-3.0,60.0,Moderate,🔥 COILED: Enter w/ caution,53,-7.7,-2.6,2.9,51.1,1,,Technology,64891708.0,11249.28
NWBO,Northwest Biotherapeutics Inc,0.19,16,16,4,9,4,7,5,61,-4.0,60.0,Moderate,Enter w/ caution,30,11.8,0.0,7.2,61.6,1,,Healthcare,324071232.0,3123247.82
ASHXF,Progressive Planet Solutions Inc,0.265,16,3,7,13,7,4,5,55,2.0,60.0,Moderate,Enter w/ caution,53,-4.0,1.5,0.9,53.9,0,,Basic Materials,29386364.0,25071.33
IAUFF,AIC Mines Limited,0.59,18,6,6,16,6,2,5,59,1.0,60.0,Moderate,Enter w/ caution,72,-1.7,11.3,5.9,68.4,2,,Basic Materials,470595680.0,3614.75
OILRF,Oil Refineries Ltd,0.695,15,13,9,14,6,6,5,68,-6.0,60.0,Moderate,Enter w/ caution,62,2.4,2.9,10.6,56.3,0,,Energy,2173645824.0,0.0
ZPTA,Zapata Computing Holdings Inc. Common Stock,0.919,12,16,8,13,4,2,5,60,-3.0,60.0,Moderate,Enter w/ caution,55,13.4,5.9,5.0,52.2,1,,Technology,172113568.0,187605.62
UNDR,UnderSea Recovery Corp,0.002,11,8,7,11,6,4,5,52,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,43,0.0,0.0,6.4,53.1,0,,Industrials,3134460.0,7904.77
RECX,Recreatives Industries Inc.,0.017,13,13,13,18,6,5,5,73,-15.0,59.0,Moderate,Enter w/ caution,61,18.9,18.1,20.9,67.2,3,,Consumer Cyclical,4873715.0,1224586.66
RIINF,Braveheart Resources Inc,0.024,14,12,2,13,7,4,5,57,-3.0,59.0,Moderate,Enter w/ caution,38,-6.5,17.4,10.4,59.3,2,,Basic Materials,8205611.0,292534.38
EVGPF,Evergrande Property Services Group Limited,0.131,14,6,6,9,4,8,5,52,2.0,59.0,Moderate,🔥 COILED: Enter w/ caution,41,0.0,0.0,0.9,54.0,0,,Real Estate,1414054016.0,939.21
EMUS,Electric Metals (USA) Limited,0.177,15,9,4,16,7,5,5,61,-2.0,59.0,Moderate,Enter w/ caution,45,1.4,32.3,15.7,60.1,2,,Basic Materials,35806044.0,78049.65
RIBBR,Ribbon Acquisition Corp Rights,0.24,11,9,2,15,7,7,5,56,2.0,59.0,Moderate,Enter w/ caution,53,-3.0,-7.7,4.7,52.7,0,,nan,1017899.0,0.0
YMMCF,YUKON METALS CORP.,0.335,11,14,5,11,6,3,5,55,-1.0,59.0,Moderate,Enter w/ caution,47,16.3,10.0,11.3,59.6,2,,Basic Materials,41428280.0,15957.37
VUECF,Verdera Energy Corp.,0.357,18,13,8,16,4,2,5,66,-7.0,59.0,Moderate,Enter w/ caution,0,2.1,5.1,7.7,64.0,1,,Energy,nan,0.0
ASXSF,Elysee Development Corp,0.46,13,8,6,14,4,7,5,57,2.0,59.0,Moderate,Enter w/ caution,53,4.5,2.2,4.1,57.3,0,,Financial Services,12969327.0,0.0
LMPMF,Lee and Man Paper Manufacturing Limited,0.54,17,4,5,16,6,3,5,56,0.0,59.0,Moderate,Enter w/ caution,61,28.6,28.6,15.6,50.0,2,,Basic Materials,2319300096.0,0.0
RDUFF,Radius Gold Inc,0.12,15,8,7,15,7,6,5,63,-4.2,58.8,Moderate,Enter w/ caution,66,9.1,9.1,20.7,58.2,2,,Basic Materials,13884509.0,30693.56
WNBDD,Winning Brands Corporation,0.005,16,9,10,10,4,6,5,60,-1.8,58.2,Moderate,Enter w/ caution,41,24.3,24.3,20.6,56.3,2,,Consumer Defensive,32247.0,18003.03
HPNN,Hop-On Inc,0.001,17,10,7,14,6,6,5,65,-5.0,58.0,Moderate,Enter w/ caution,67,20.0,50.0,32.1,65.6,2,,Technology,8959021.0,4380005.81
CMMMF,Comstock Metals Ltd,0.032,19,4,7,13,6,7,5,61,-3.0,58.0,Moderate,Enter w/ caution,54,14.3,14.3,6.9,74.9,2,,Basic Materials,949503.0,1782.59
TJIPF,Tianjin Port Development Holdings Limited,0.09,15,7,8,7,1,9,5,52,1.0,58.0,Moderate,🔥 COILED: Enter w/ caution,0,0.0,0.0,1.1,68.5,0,,Industrials,492640000.0,0.0
HLUCF,Homeland Uranium Corp.,0.087,8,14,6,15,5,2,5,55,2.0,58.0,Moderate,Enter w/ caution,25,4.9,-3.8,0.6,49.8,0,,Energy,nan,391192.9
ORFDF,Orefinders Resources Inc,0.124,18,9,7,16,6,3,5,64,-6.0,58.0,Moderate,Enter w/ caution,68,7.0,13.4,12.0,78.2,2,,Basic Materials,30793514.0,61826.48
GRGG,Green For Energy Inc,0.25,17,9,12,18,6,8,5,75,-22,58,Moderate,Enter w/ caution,63,66.7,66.7,56.4,87.9,2,6,Financial Services,1521185.0,771.82
FPAFF,First Pacific Company Limited,0.68,10,12,11,10,6,7,2,58,-1.0,58.0,Moderate,Enter w/ caution,44,3.0,1.5,2.6,58.4,0,,Consumer Defensive,2855620352.0,0.0
XPL,Solitario Exploration & Royalty Corp,0.82,13,14,7,12,5,4,5,60,-2.0,58.0,Moderate,Enter w/ caution,54,2.5,2.5,4.3,61.3,1,,Basic Materials,77574984.0,254183.41
ABIT,Athena Bitcoin Global,0.006,15,13,3,15,9,4,5,64,-9.5,57.5,Moderate,Enter w/ caution,48,20.0,50.0,40.0,62.9,2,,Financial Services,24570058.0,457551.57
