code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
ZTSTF,ZTEST Electronics Inc,0.29,18,11,6,17,6,8,5,71,2.5,78.5,Strong,Enter w/ confidence,73,24.6,31.8,23.5,62.4,2,,Technology,10896111.0,13741.87
KRTL,KRTL Holding Group Inc,0.068,14,13,6,16,4,11,5,69,4.0,76.0,Strong,Enter w/ confidence,53,13.4,17.4,18.5,59.7,2,,Industrials,6108801.0,48283.05
MACIW,Melar Acquisition Corp. I Warrant,0.15,15,8,7,15,6,12,5,68,-3.0,70.0,Strong,Enter w/ confidence,44,15.4,25.0,19.1,72.3,2,,nan,2070000.0,0.0
CPIVF,Captiva Verde Land Corp,0.033,15,11,10,14,8,2,5,65,2.0,67.0,Moderate,Enter w/ caution,65,15.8,26.4,14.3,57.4,2,,Healthcare,10069325.0,33687.16
CUEN,Cuentas Inc.,0.324,19,14,12,18,6,10,5,84,-22,67,Moderate,Enter w/ caution,71,16.7,15.9,15.1,63.6,3,,Technology,2580682.0,3804.34
MSRM,Mushrooms Inc.,0.017,13,16,10,14,4,1,5,63,2.0,65.0,Moderate,Enter w/ caution,46,-5.6,17.2,8.9,56.1,2,,Consumer Defensive,761816.0,49846.53
NMGC,NeoMagic Corporation,0.015,18,10,12,18,6,9,5,78,-20.0,63.0,Moderate,Enter w/ caution,66,16.7,16.7,18.1,67.2,3,,Technology,959518.0,6884.34
IRHOR,Iron Horse Acquisitions Corp. II Rights,0.221,18,10,7,15,6,6,5,67,-2.0,63.0,Moderate,Enter w/ caution,0,5.2,30.0,18.8,67.1,2,,nan,nan,0.0
ILDO,International Daleco Corp,0.009,13,6,11,13,4,4,3,54,0.0,62.0,Moderate,🔥 COILED: Enter w/ caution,42,0.0,0.0,1.1,53.9,0,,Basic Materials,414106.0,6529.65
AFFY,Affymax Inc.,0.001,20,5,5,15,6,5,5,61,1.0,62.0,Moderate,Enter w/ caution,71,30.0,8.3,16.7,66.0,2,,Healthcare,48737.0,5847.06
FGIWW,FGI Industries Ltd. Warrant,0.04,15,10,12,13,3,7,5,65,-3.0,62.0,Moderate,Enter w/ caution,46,14.5,14.5,12.6,71.6,2,,nan,nan,0.0
CCFLU,Community Choice Financial Holdings LLC,0.035,17,6,9,15,8,0,5,60,2.0,62.0,Moderate,Enter w/ caution,65,0.0,16.7,12.8,58.1,2,,Financial Services,nan,41846.05
COSG,Cosmos Group Holdings Inc,0.072,14,10,8,12,3,3,5,55,2.0,62.0,Moderate,🔥 COILED: Enter w/ caution,46,16.0,28.4,10.7,52.8,2,,Financial Services,46001.0,1751.05
TGGCF,TGGCF,0.085,14,16,8,11,6,0,4,59,0.0,62.0,Moderate,🔥 COILED: Enter w/ caution,38,3.6,9.9,4.0,52.3,1,,Basic Materials,nan,0.0
IBACR,IB Acquisition Corp. Right,0.117,13,14,11,14,6,2,5,65,-1.0,62.0,Moderate,Enter w/ caution,55,2.0,6.7,3.9,59.3,0,,nan,nan,0.0
SUIC,AJ Greentech Holdings Ltd,0.86,16,9,4,16,7,4,4,60,2.0,62.0,Moderate,Enter w/ caution,62,0.0,5.5,3.6,58.7,1,,Technology,9801134.0,861.51
RFHRF,Renforth Resources Inc,0.018,15,8,8,12,7,6,2,58,0.0,61.0,Moderate,Enter w/ caution,55,-4.3,0.0,1.4,51.0,0,,Basic Materials,8355943.0,51041.03
MHIVF,Invesque Inc,0.095,17,7,9,14,1,3,5,56,-3.0,61.0,Moderate,🔥 COILED: Enter w/ caution,43,5.6,-5.0,1.7,52.9,2,,Real Estate,86784288.0,9764.5
